reportDate,ang:sj,apn:sj,ari:sj,avi:sj,baw:sj,bid:sj,bvt:sj,cls:sj,cpi:sj,dcp:sj,drd:sj,dsy:sj,exx:sj,fsr:sj,gfi:sj,grt:sj,imp:sj,mrp:sj,mtm:sj,mtn:sj,ned:sj,npn:sj,ny1:sj,omu:sj,out:sj,pph:sj,rdf:sj,rem:sj,sbk:sj,shp:sj,snt:sj,sol:sj,ssw:sj,tbs:sj
03/01/2007,-0.023809462,-0.004600898,-0.034129179,-0.015648753,-0.004186438,,-0.008875522,-0.002744836,0.043175796,,0.006250002,-0.006936849,-0.008849686,-0.021631265,-0.025853799,,-0.042959116,-0.003999214,-0.013114654,-0.015421123,0,0,,,-0.035217552,,,-0.007627277,-0.022679028,-0.009615689,-0.011428735,-0.039113357,,-0.002906945
04/01/2007,-0.020427007,-0.014792101,-0.045019571,-0.002564077,-0.009129044,,0.003731451,-0.010091426,-0.013888952,,-0.052794908,0.003676505,-0.016249996,-0.025794782,-0.044106382,,-0.05000016,-0.014056611,0.023255696,-0.015060148,-0.001890244,0.014880885,,,-0.025766691,,,-0.029262738,-0.023205833,0.005825829,-0.034681785,-0.03188302,,-0.008746487
05/01/2007,-0.0118268,0.000625623,-0.007550924,0.002570668,0.009213151,,-0.007435092,-0.008340781,0,,-0.032786793,-0.004029489,-0.019785802,0.03120562,-0.020684006,,-0.012418689,0.006110179,-0.025974149,-0.01162093,0.00757567,-0.002991024,,,0.035579298,,,-0.003870704,0.011049674,0,-0.005988227,-0.009941753,,-0.004117587
08/01/2007,0.016850272,0.000312616,-0.02173921,0.031794807,-0.009032197,,-0.001872781,0,-0.001408318,,0.050847518,-0.000735128,0,0.018340542,0.015515794,,0.035868538,-0.010121354,-0.006666494,0.01485147,-0.007518711,-0.020530909,,,-0.002736391,,,-0.005593091,0.010382716,0,0.01204896,-0.000418612,,-0.018015368
09/01/2007,0.008239001,0.004374875,-0.005555384,-0.006460924,0.018799081,,0.007129449,0.004672373,0.01551474,,-0.004838883,0.019506691,0,0.04007189,-0.002079853,,0.010173665,0.031492666,0.010067182,-0.006707358,0.00757567,-0.009609321,,,0.030487691,,,0.013617547,0.05743633,0.001930127,0.008928223,-0.020719883,,0.010526318
10/01/2007,-0.007680029,-0.010578579,-0.016759919,0.000499875,0.00505975,,-0.01482871,0.004651099,0,,-0.011345197,0.027436678,-0.027777361,-0.015151317,-0.01402833,,-0.008297612,0.02696307,-0.006644672,-0.013505059,-0.018796815,-0.035779438,,,-0.007396368,,,-0.004380828,-0.007774573,-0.005394644,0.011209224,-0.012737909,,-0.01190471
11/01/2007,0.004303261,0.003144531,-0.021022651,-0.01999968,-0.005034278,,0.017321311,0.004630134,0.013889024,,-0.016393296,0.003162222,-0.014286153,-0.004395988,0.008536645,,0.015580214,0.038609349,0.003344394,0.024268774,0.011111054,0.009119302,,,0.002086362,,,0.011440207,0,0.007361236,-0.00023327,-0.00419974,,0.014457876
12/01/2007,-0.007367525,-0.003448172,0.033081739,0.007652858,-0.002976197,,0.007880686,0.013824464,-0.008219328,,0.029999952,0.008756739,0.014493205,-0.002207735,-0.007657922,,0.039772464,0.022305107,0.01333348,0.013973151,0.001894691,-0.01028347,,,0.00535395,,,0.00812075,0,-0.001923176,0.008403236,-0.004304485,,0.007125797
15/01/2007,0.012701544,-0.001258331,0.010674349,0.002531683,0.020895635,,0.017925685,0.009090784,0,,-0.004854444,0.029513903,0.012380742,0.022124316,0.005686472,,0.03825123,0.019999905,-0.001315852,0.022768511,0.021255629,0.013853954,,,0.035503136,,,0.001150806,0.025876502,-0.009248312,0.021412273,0.016986314,,0.024469463
16/01/2007,-3.07E-05,0.00314956,-0.014008045,0,0.017894692,,0.014566506,0.018018325,-0.005524844,,-0.024390125,0.025632329,0.015992249,0.017315831,-0.014620329,,0.008947538,0.016043041,-0.005269857,-0.004100811,0.023627993,0.037267071,,,0.005714067,,,0.01143677,0.00994899,0.00155536,-0.002832901,-0.018677399,,0.01755389
