reportDate,strategy_return,equal_weight_return,strategy_cumulative_return,equal_weight_cumulative_return
2007/07/05,0.001296512,-0.001100339,0.95879587,1.028231953
2007/07/06,0.014993721,0.012328139,0.973171788,1.04090814
2007/07/09,0.020182289,0.019504097,0.992812622,1.061210113
2007/07/10,0.002679381,0.001983545,0.995472745,1.063315071
2007/07/11,-0.002369206,-0.000545088,0.993114265,1.062735471
2007/07/12,0.007921549,0.005915781,1.000981268,1.069022382
2007/07/13,-0.000617537,0.003446166,1.000363125,1.07270641
2007/07/16,0.001711453,0.000421116,1.0020752,1.073158144
2007/07/17,-0.003081596,-0.004433656,0.998987209,1.06840013
2007/07/18,0.004435679,-0.003548049,1.003418396,1.064609394
2007/07/19,0.002903042,0.005971109,1.006331362,1.070966293
2007/07/20,0.009901762,0.005819014,1.016295816,1.077198261
2007/07/23,-0.000799646,0.004792967,1.015483139,1.082361236
2007/07/24,-0.005443156,-0.008976849,1.009955706,1.072645043
2007/07/25,-0.011405608,-0.012181188,0.998436548,1.059578952
2007/07/26,-0.007918692,-0.015533925,0.990530236,1.043119531
2007/07/27,-0.015058393,-0.019479312,0.975614442,1.022800281
2007/07/30,0.008072853,0.008604173,0.983490434,1.031600631
2007/07/31,0.010130175,0.010827401,0.993453364,1.042770185
2007/08/01,-0.019974313,-0.025592137,0.973609816,1.016083468
2007/08/02,-0.003026119,-0.001853292,0.970663557,1.014200368
2007/08/03,-0.001817534,-0.002920963,0.968899343,1.011237926
2007/08/06,-0.024760685,-0.028380571,0.944908731,0.982538417
2007/08/07,0.001074914,0.010846932,0.945924426,0.993195944
2007/08/08,0.013464572,0.027628329,0.958660894,1.020636288
2007/08/10,-0.01691299,-0.028021888,0.942447072,0.992036133
2007/08/13,0.009684116,0.012288189,0.951573838,1.00422646
2007/08/14,-0.004846662,-0.009700496,0.946961882,0.994484966
2007/08/15,-0.006345152,-0.008438556,0.940953265,0.986092948
2007/08/16,-0.017732752,-0.026412044,0.924267574,0.960048218
2007/08/17,-0.007708967,-0.00773204,0.917142426,0.952625087
2007/08/20,0.015405667,0.016361102,0.931271616,0.968211083
2007/08/21,0.00010778,-8.56E-05,0.931371989,0.968128174
2007/08/22,0.009469272,0.019234116,0.940191403,0.986749263
2007/08/23,0.010931374,0.013201829,0.950468987,0.999776158
2007/08/24,-0.003622285,0.001087325,0.947026118,1.00086324
2007/08/27,0.006833126,0.01111439,0.953497267,1.011987225
2007/08/28,-0.002781889,-0.008099563,0.950844743,1.003790571
2007/08/29,0.002123462,0.002857322,0.952863826,1.006658724
2007/08/30,0.012834369,0.011921292,0.965093232,1.018659396
2007/08/31,0.015153283,0.022674464,0.979717563,1.041756953
2007/09/03,0.01399337,0.010546078,0.993427113,1.052743402
2007/09/04,0.005853157,0.006010977,0.999241799,1.059071418
2007/09/05,-0.003229486,-0.00949248,0.996014761,1.049018204
2007/09/06,0.00306114,0.003449443,0.999063702,1.052636732
2007/09/07,0.008438777,-0.003006492,1.007494578,1.049471988
2007/09/10,-0.00603402,-0.001713002,1.001415335,1.047674239
2007/09/11,0.011214959,0.019347745,1.012646168,1.067944373
2007/09/12,0.010669957,0.006696489,1.023451059,1.075095851
2007/09/13,0.006404818,0.00203693,1.030006077,1.077285747
2007/09/14,0.002779612,0.00087006,1.032869094,1.07822305
2007/09/17,-0.004510135,-0.010219767,1.028210715,1.067203861
2007/09/18,0.006493163,0.001986968,1.034887054,1.069324361
2007/09/19,0.012381696,0.019251758,1.047700712,1.089910735
2007/09/20,0.002647102,0.002494297,1.050474083,1.092629296
2007/09/21,-0.004611599,-0.006733011,1.045629718,1.085272611
2007/09/25,-0.007347293,-0.007959968,1.03794717,1.076633875
2007/09/26,-0.00405564,0.003945107,1.03373763,1.08088131
2007/09/27,0.007217474,0.009256338,1.041198605,1.090886313
2007/09/28,0.002685398,2.64E-05,1.043994637,1.090915097
2007/10/01,-0.017380544,-0.003925756,1.025849442,1.086632431
2007/10/02,0.007843451,0.016032939,1.033895642,1.104054342
2007/10/03,0.005792687,0.013052626,1.039884676,1.118465151
2007/10/04,0.006194223,0.000890927,1.046325953,1.119461621
2007/10/05,0.001831829,0.007618746,1.048242643,1.127990515
2007/10/08,0.000341574,0.003391149,1.048600696,1.131815699
2007/10/09,-0.000969795,-0.002056532,1.047583768,1.129488084
2007/10/10,-0.000143597,0.002090215,1.047433338,1.131848957
2007/10/11,0.00550721,0.010660928,1.053201774,1.143915518
2007/10/12,-0.002413981,-0.004349709,1.050659364,1.138939818
2007/10/15,-0.001112609,-0.005622394,1.049490391,1.13253625
2007/10/16,-0.008626167,-0.004523503,1.040437312,1.127413219
2007/10/17,0.003618174,0.007845886,1.044201795,1.136258775
2007/10/18,0.000233168,4.82E-05,1.044445269,1.136313536
