reportDate,ang:sj,apn:sj,ari:sj,avi:sj,baw:sj,bid:sj,bvt:sj,cls:sj,cpi:sj,dcp:sj,drd:sj,dsy:sj,exx:sj,fsr:sj,gfi:sj,grt:sj,imp:sj,mrp:sj,mtm:sj,mtn:sj,ned:sj,npn:sj,ny1:sj,omu:sj,out:sj,pph:sj,rdf:sj,rem:sj,sbk:sj,shp:sj,snt:sj,sol:sj,ssw:sj,tbs:sj
30/09/2008,306.6088,14.2337,5.3163,12.0067,5.13735,,2.6686,25.372,10.0837,,6.3473,12.2301,11.6478,6.846,9.7624,8417.4506,4.6433,11.3024,7.1926,17.9071,5.7836,12.9644,,1.3227,,,25.8713,3.2538,8.1626,17.7626,19.4502,7.5978,,9.3847
31/12/2008,306.6088,17.9294,4.7809,8.5324,5.13735,,2.3931,25.372,10.0837,,6.3473,12.8188,6.6669,6.62,9.7624,8417.4506,5.6553,11.3024,7.1926,14.5,6.2899,12.9644,,4.6847,,,25.8713,3.2538,9.2032,15.6047,12.9269,6.1646,,9.3847
28/02/2009,306.6088,17.9294,4.7809,8.5324,5.13735,,2.3931,25.7104,11.8567,,6.3473,12.8188,6.6669,6.62,9.7624,8417.4506,5.6553,11.3024,7.1926,14.5,6.2899,12.9644,,4.6847,,,25.8713,3.2538,9.2032,15.6047,12.9269,6.1646,,9.3847
31/03/2009,306.6088,17.9294,4.7809,8.5324,5.8993,,2.3931,25.7104,11.8567,,10.6509,12.8188,6.6669,6.62,23.4365,8417.4506,5.6553,11.3024,7.1926,14.5,6.2899,12.9644,,4.6847,,,25.8713,3.2538,9.2032,15.6047,12.9269,6.1646,,11.2119
30/06/2009,306.6088,20.4496,13.0259,10.7865,5.8993,,3.7798,25.7104,11.8567,,10.6509,14.5813,8.8359,12.4341,23.4365,8417.4506,20.324,11.3024,7.1926,13.2325,9.6079,12.9644,,4.6847,,,25.8713,3.2538,12.975,16.8672,13.5995,13.2532,,11.2119
31/08/2009,306.6088,20.4496,13.0259,10.7865,5.8993,,3.7798,33.2666,18.4349,,10.6509,14.5813,8.8359,12.4341,23.4365,8417.4506,20.324,11.3024,7.1926,13.2325,9.6079,12.9644,,4.6847,,,25.8713,3.2538,12.975,16.8672,13.5995,13.2532,,11.2119
30/09/2009,306.6088,20.4496,13.0259,10.7865,8.7181,,3.7798,33.2666,18.4349,,10.6509,14.5813,8.8359,12.4341,28.5996,8417.4506,20.324,13.6348,7.1926,13.2325,9.6079,25.4484,,4.6847,,,25.8713,14.8644,12.975,16.8672,13.5995,13.2532,,11.2119
31/12/2009,306.6088,19.012,31.7468,12.1079,8.7181,,3.7151,33.2666,18.4349,,10.6509,12.5407,32.8253,13.1108,28.5996,190.1724,53.9646,13.6348,8.84,13.0187,10.7801,25.4484,,4.6847,,,25.8713,14.8644,14.0092,20.0635,11.159,25.1064,,11.2119
28/02/2010,306.6088,19.012,31.7468,12.1079,8.7181,,3.7151,37.0007,23.1233,,10.6509,12.5407,32.8253,13.1108,28.5996,190.1724,53.9646,13.6348,8.84,13.0187,10.7801,25.4484,,4.6847,,,13.0575,14.8644,14.0092,20.0635,11.159,25.1064,,11.2119
31/03/2010,306.6088,19.012,31.7468,12.1079,23.2765,,3.7151,37.0007,23.1233,,10.6509,12.5407,32.8253,13.1108,25.7247,190.1724,53.9646,17.4247,8.84,13.0187,10.7801,25.4484,,4.6847,,,13.0575,10.2862,14.0092,20.0635,11.159,25.1064,,9.6862
30/06/2010,306.6088,21.7445,24.9409,14.5428,23.2765,,4.0188,37.0007,23.1233,,10.6509,12.7713,20.6637,12.2882,25.7247,735.1107,29.6699,17.4247,8.84,16.8099,13.3618,25.4484,,4.6847,7.7067,,13.0575,10.2862,13.9583,22.321,10.5021,13.3734,,9.6862
31/08/2010,306.6088,21.7445,24.9409,14.5428,23.2765,,4.0188,41.7252,27.6122,,10.6509,12.7713,20.6637,12.2882,25.7247,735.1107,29.6699,17.4247,8.84,16.8099,13.3618,25.4484,,4.6847,7.7067,,13.0575,10.2862,13.9583,22.321,10.5021,13.3734,,9.6862
30/09/2010,39.7881,21.7445,24.9409,14.5428,36.8751,,4.0188,41.7252,27.6122,,4.8326,12.7713,20.6637,12.2882,25.4093,735.1107,29.6699,22.3796,8.84,16.8099,13.3618,21.8035,,4.6847,7.7067,,13.0575,9.2265,13.9583,22.321,10.5021,13.3734,,9.6862
31/12/2010,39.7881,18.6126,13.8961,12.8983,36.8751,,3.6865,41.7252,27.6122,,4.8326,9.2914,10.336,11.4596,25.4093,735.1107,19.8397,22.3796,13.338,18.9106,13.9669,21.8035,,6.171,7.7067,,13.0575,9.2265,14.3554,21.539,8.0333,12.7035,,9.6862
28/02/2011,39.7881,18.6126,13.8961,12.8983,36.8751,,3.6865,36.8051,25.2426,,4.8326,9.2914,10.336,11.4596,25.4093,735.1107,19.8397,22.3796,13.338,18.9106,13.9669,21.8035,,6.171,7.7067,,60.6345,9.2265,14.3554,21.539,8.0333,12.7035,,9.6862
31/03/2011,116.5347,18.6126,13.8961,12.8983,15.3118,,3.6865,36.8051,25.2426,,3.7856,9.2914,10.336,11.4596,35.6141,735.1107,19.8397,22.3796,13.338,18.9106,13.9669,21.8035,,6.171,7.7067,,60.6345,4.0275,14.3554,21.539,8.0333,12.7035,,12.4941
30/06/2011,116.5347,19.5224,11.0485,15.4073,15.3118,,3.7876,36.8051,25.2426,,3.7856,9.369,7.9832,8.7635,35.6141,735.1107,15.1559,22.3796,12.3235,17.3126,12.361,21.8035,,3.939,6.163,,60.6345,4.0275,13.7283,27.4667,8.0333,11.9682,,12.4941
31/08/2011,116.5347,19.5224,11.0485,15.4073,15.3118,,3.7876,37.2844,19.6382,,3.7856,9.369,7.9832,8.7635,35.6141,735.1107,15.1559,22.3796,12.3235,17.3126,12.361,21.8035,,3.939,6.163,,60.6345,4.0275,13.7283,27.4667,8.0333,11.9682,,12.4941
30/09/2011,15.9044,19.5224,11.0485,15.4073,15.3118,,3.7876,37.2844,19.6382,,19.0848,9.369,7.9832,8.7635,30.9298,735.1107,15.1559,22.3796,12.3235,17.3126,12.361,21.3307,,3.939,6.163,,60.6345,4.0275,13.7283,27.4667,8.0333,11.9682,,14.2795
31/10/2011,15.9044,19.5224,11.0485,15.4073,15.3118,,3.7876,37.2844,19.6382,,19.0848,9.369,7.9832,8.7635,30.9298,735.1107,15.1559,19.2761,12.3235,17.3126,12.361,21.3307,,3.939,6.163,,60.6345,4.0275,13.7283,27.4667,8.0333,11.9682,,14.2795
31/12/2011,15.9044,23.0738,9.3718,16.2045,15.3118,,3.866,37.2844,19.6382,,19.0848,12.7878,9.2345,10.2382,30.9298,735.1107,10.1365,19.2761,20.3738,12.6653,12.9641,21.3307,,8.5801,6.163,,60.6345,10.0488,13.6795,27.8065,12.8564,8.0096,,14.2795
29/02/2012,15.9044,23.0738,9.3718,16.2045,15.3118,,3.866,41.7985,19.2745,,19.0848,12.7878,9.2345,10.2382,30.9298,735.1107,10.1365,19.2761,20.3738,12.6653,12.9641,21.3307,,8.5801,6.163,,60.6345,10.0488,13.6795,27.8065,12.8564,8.0096,,14.2795
31/03/2012,8.3926,23.0738,9.3718,16.2045,10.978,,3.866,41.7985,19.2745,,17.8411,12.7878,9.2345,10.2382,15.9929,735.1107,10.1365,19.2761,20.3738,12.6653,12.9641,21.3307,,8.5801,6.163,,60.6345,10.0488,13.6795,27.8065,12.8564,8.0096,,13.5424
30/06/2012,8.3926,28.1339,11.8822,18.1262,10.978,,4.0871,41.7985,19.2745,,17.8411,15.6974,8.2126,13.9075,15.9929,735.1107,24.3178,19.2761,14.4676,15.0466,12.6383,21.3307,,24.0199,7.391,,60.6345,6.4265,14.3764,34.6867,17.3017,9.3982,,13.5424
